UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19277424     RESP   1453 
     19277432     RESP   1395 
     19277440     RESP   1250 
     19277448     RESP   1207 
     19277456     RESP   1236 
     19277464     RESP   1308 
     19277472     RESP   1395 
     19277480     RESP   1497 
     19277488     RESP   1656 
     19277496     RESP   1700 
     19277504     RESP   1772 
     19277512     RESP   1787 
     19277520     RESP   1787 
     19277528     RESP   1830 
     19277536     RESP   1874 
     19277544     RESP   1903 
     19277552     RESP   1932 
     19277560     RESP   1990 
     19277568     RESP   2033 
     19277576     RESP   2106 
     19277584     RESP   2178 
     19277592     RESP   2251 
     19277600     RESP   2294 
     19277608     RESP   2338 
     19277616     RESP   2352 
     19277624     RESP   2367 
     19277632     RESP   2323 
     19277640     RESP   2294 
     19277648     RESP   2294 
     19277656     RESP   2280 
     19277664     RESP   2251 
     19277672     RESP   2280 
     19277680     RESP   2294 
     19277688     RESP   2280 
     19277696     RESP   2294 
     19277704     RESP   2309 
     19277712     RESP   2294 
     19277720     RESP   2265 
     19277728     RESP   2280 
     19277736     RESP   2265 
     19277744     RESP   2236 
     19277752     RESP   2236 
     19277760     RESP   2251 
     19277768     RESP   2193 
     19277776     RESP   2164 
     19277784     RESP   2164 
     19277792     RESP   2193 
     19277800     RESP   2164 
     19277808     RESP   2193 
     19277816     RESP   2207 
     19277824     RESP   2149 
     19277832     RESP   2077 
     19277840     RESP   2062 
     19277848     RESP   2106 
     19277856     RESP   2135 
     19277864     RESP   2178 
     19277872     RESP   2178 
     19277880     RESP   2193 
     19277888     RESP   2164 
     19277896     RESP   2120 
     19277912     RESP   1946 
     19277920     RESP   1874 
     19277928     RESP   1816 
     19277936     RESP   1743 
     19277944     RESP   1642 
     19277952     RESP   1584 
     19277960     RESP   1526 
     19277968     RESP   1453 
     19277976     RESP   1453 
     19277984     RESP   1424 
     19277992     RESP   1323 
     19278000     RESP   1265 
     19278008     RESP   1163 
     19278016     RESP   1091 
     19278024     RESP    989 
     19278032     RESP    931 
     19278040     RESP    844 
     19278048     RESP    757 
     19278056     RESP    743 
     19278064     RESP    685 
     19278072     RESP    656 
     19278080     RESP    641 
     19278088     RESP    627 
     19278096     RESP    598 
     19278104     RESP    554 
     19278112     RESP    554 
     19278120     RESP    554 
     19278128     RESP    511 
     19278136     RESP    496 
     19278144     RESP    511 
     19278152     RESP    496 
     19278160     RESP    482 
     19278168     RESP    511 
     19278176     RESP    569 
     19278184     RESP    598 
     19278192     RESP    641 
     19278200     RESP    714 
     19278208     RESP    685 
     19278216     RESP    569 
     19278224     RESP    511 
     19278232     RESP    467 
     19278240     RESP    540 
     19278248     RESP    627 
     19278256     RESP    743 
     19278264     RESP    815 
     19278272     RESP    859 
     19278280     RESP    902 
     19278288     RESP    888 
     19278296     RESP    873 
     19278304     RESP    830 
     19278312     RESP    844 
     19278320     RESP    859 
     19278328     RESP    844 
     19278336     RESP    888 
     19278344     RESP    888 
     19278352     RESP    975 
     19278360     RESP   1033 
     19278368     RESP   1076 
     19278376     RESP   1120 
     19278384     RESP   1134 
     19278392     RESP   1178 
     19278400     RESP   1178 
     19278408     RESP   1192 
     19278416     RESP   1207 
     19278424     RESP   1221 
     19278432     RESP   1236 
     19278440     RESP   1250 
     19278448     RESP   1294 
     19278456     RESP   1279 
     19278464     RESP   1323 
     19278472     RESP   1352 
     19278480     RESP   1352 
     19278488     RESP   1352 
     19278496     RESP   1366 
     19278504     RESP   1381 
     19278512     RESP   1381 
     19278520     RESP   1410 
     19278528     RESP   1439 
     19278536     RESP   1453 
     19278544     RESP   1482 
     19278552     RESP   1511 
     19278560     RESP   1511 
     19278568     RESP   1526 
     19278576     RESP   1598 
     19278584     RESP   1685 
     19278592     RESP   1758 
     19278600     RESP   1816 
     19278608     RESP   1772 
     19278616     RESP   1671 
     19278624     RESP   1613 
     19278632     RESP   1729 
     19278640     RESP   1859 
     19278648     RESP   1961 
     19278656     RESP   2077 
     19278664     RESP   2164 
     19278672     RESP   2178 
     19278680     RESP   2149 
     19278688     RESP   2120 
     19278696     RESP   2091 
     19278704     RESP   2091 
     19278712     RESP   2135 
     19278720     RESP   2091 
     19278728     RESP   2106 
     19278736     RESP   2106 
     19278744     RESP   2135 
     19278752     RESP   2193 
     19278760     RESP   2193 
     19278768     RESP   2251 
     19278776     RESP   2294 
     19278784     RESP   2265 
     19278792     RESP   2251 
     19278800     RESP   2265 
     19278808     RESP   2251 
     19278816     RESP   2193 
     19278824     RESP   2207 
     19278832     RESP   2178 
     19278840     RESP   2178 
     19278848     RESP   2193 
     19278856     RESP   2193 
     19278864     RESP   2193 
     19278872     RESP   2164 
     19278880     RESP   2164 
     19278888     RESP   2149 
     19278896     RESP   2135 
     19278904     RESP   2149 
     19278912     RESP   2149 
     19278920     RESP   2135 
     19278928     RESP   2106 
     19278936     RESP   2120 
     19278944     RESP   2091 
     19278952     RESP   2106 
     19278960     RESP   2106 
     19278968     RESP   2091 
     19278976     RESP   2091 
     19278992     RESP   1990 
     19279000     RESP   1917 
     19279008     RESP   1961 
     19279016     RESP   2004 
     19279032     RESP   2077 
     19279040     RESP   2120 
     19279048     RESP   2091 
     19279056     RESP   2062 
     19279064     RESP   2004 
     19279072     RESP   1874 
     19279080     RESP   1787 
     19279088     RESP   1700 
     19279096     RESP   1656 
     19279104     RESP   1555 
     19279112     RESP   1482 
     19279120     RESP   1453 
     19279128     RESP   1424 
     19279136     RESP   1424 
     19279144     RESP   1381 
     19279152     RESP   1337 
     19279160     RESP   1221 
     19279168     RESP   1134 
     19279176     RESP   1047 
     19279184     RESP    960 
     19279192     RESP    902 
     19279200     RESP    859 
     19279208     RESP    786 
     19279216     RESP    757 
     19279224     RESP    714 
     19279232     RESP    685 
     19279240     RESP    612 
     19279248     RESP    569 
     19279256     RESP    554 
     19279264     RESP    511 
     19279272     RESP    453 
     19279280     RESP    496 
     19279288     RESP    482 
     19279296     RESP    467 
     19279304     RESP    482 
     19279312     RESP    525 
     19279320     RESP    540 
     19279328     RESP    540 
     19279336     RESP    583 
     19279344     RESP    583 
     19279352     RESP    496 
     19279360     RESP    424 
     19279368     RESP    424 
     19279376     RESP    467 
     19279384     RESP    569 
     19279392     RESP    685 
     19279400     RESP    772 
     19279408     RESP    801 
     19279416     RESP    830 
     19279424     RESP    844 
     19279432     RESP    772 
     19279440     RESP    757 
     19279448     RESP    772 
     19279456     RESP    786 
     19279464     RESP    757 
     19279472     RESP    786 
     19279480     RESP    830 
     19279488     RESP    873 
     19279496     RESP    946 
     19279504     RESP   1018 
     19279512     RESP   1033 
     19279520     RESP   1062 
     19279528     RESP   1091 
     19279536     RESP   1105 
     19279544     RESP   1134 
     19279552     RESP   1149 
     19279560     RESP   1192 
     19279568     RESP   1192 
     19279576     RESP   1207 
     19279584     RESP   1250 
     19279592     RESP   1250 
     19279600     RESP   1221 
     19279608     RESP   1265 
     19279616     RESP   1294 
     19279624     RESP   1308 
     19279632     RESP   1323 
     19279640     RESP   1381 
     19279648     RESP   1395 
     19279656     RESP   1381 
     19279664     RESP   1381 
     19279672     RESP   1381 
     19279680     RESP   1424 
     19279688     RESP   1439 
     19279696     RESP   1555 
     19279704     RESP   1598 
     19279712     RESP   1526 
     19279720     RESP   1453 
     19279728     RESP   1381 
     19279736     RESP   1410 
     19279744     RESP   1526 
     19279752     RESP   1685 
     19279760     RESP   1787 
     19279768     RESP   1888 
     19279776     RESP   1961 
     19279784     RESP   1961 
     19279792     RESP   1932 
     19279800     RESP   1932 
     19279808     RESP   1961 
     19279816     RESP   1975 
     19279824     RESP   1961 
     19279832     RESP   2004 
     19279840     RESP   2004 
     19279856     RESP   2120 
     19279864     RESP   2193 
     19279872     RESP   2236 
     19279880     RESP   2294 
     19279888     RESP   2309 
     19279896     RESP   2280 
     19279904     RESP   2265 
     19279912     RESP   2236 
     19279920     RESP   2222 
     19279928     RESP   2207 
     19279936     RESP   2222 
     19279944     RESP   2251 
     19279952     RESP   2251 
