UUID        = 8b82175c-564a-4453-b418-f83f8606d51d
ScanDate    = 20170825_132254
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     19272448     PULS   1279 
     19272450     PULS   1276 
     19272452     PULS   1273 
     19272454     PULS   1271 
     19272456     PULS   1270 
     19272458     PULS   1269 
     19272460     PULS   1268 
     19272462     PULS   1268 
     19272464     PULS   1268 
     19272466     PULS   1268 
     19272468     PULS   1269 
     19272470     PULS   1271 
     19272472     PULS   1272 
     19272474     PULS   1275 
     19272476     PULS   1277 
     19272478     PULS   1280 
     19272480     PULS   1283 
     19272482     PULS   1286 
     19272484     PULS   1290 
     19272486     PULS   1294 
     19272488     PULS   1298 
     19272490     PULS   1302 
     19272492     PULS   1306 
     19272494     PULS   1310 
     19272496     PULS   1315 
     19272498     PULS   1319 
     19272500     PULS   1324 
     19272502     PULS   1329 
     19272504     PULS   1334 
     19272506     PULS   1339 
     19272508     PULS   1344 
     19272510     PULS   1349 
     19272512     PULS   1354 
     19272514     PULS   1360 
     19272516     PULS   1367 
     19272518     PULS   1376 
     19272520     PULS   1386 
     19272522     PULS   1400 
     19272524     PULS   1417 
     19272526     PULS   1441 
     19272528     PULS   1473 
     19272530     PULS   1515 
     19272532     PULS   1567 
     19272534     PULS   1631 
     19272536     PULS   1706 
     19272538     PULS   1793 
     19272540     PULS   1891 
     19272542     PULS   1997 
     19272544     PULS   2110 
     19272546     PULS   2229 
     19272548     PULS   2350 
     19272550     PULS   2471 
     19272552     PULS   2592 
     19272554     PULS   2710 
     19272556     PULS   2824 
     19272558     PULS   2933 
     19272560     PULS   3036 
     19272562     PULS   4095 
     19272564     PULS   4095 
     19272566     PULS   4095 
     19272568     PULS   4095 
     19272570     PULS   4095 
     19272572     PULS   4095 
     19272574     PULS   4095 
     19272576     PULS   4095 
     19272578     PULS   4095 
     19272580     PULS   4095 
     19272582     PULS   4095 
     19272584     PULS   4095 
     19272586     PULS   4095 
     19272588     PULS   4095 
     19272590     PULS   4095 
     19272592     PULS   4095 
     19272594     PULS   4095 
     19272596     PULS   4095 
     19272598     PULS   4095 
     19272600     PULS   4095 
     19272602     PULS   4095 
     19272604     PULS   4095 
     19272606     PULS   4095 
     19272608     PULS   4095 
     19272610     PULS   4095 
     19272612     PULS   4095 
     19272614     PULS   4095 
     19272616     PULS   4095 
     19272618     PULS   4095 
     19272620     PULS   4095 
     19272622     PULS   4095 
     19272624     PULS   3042 
     19272626     PULS   2995 
     19272628     PULS   2947 
     19272630     PULS   2899 
     19272632     PULS   2851 
     19272634     PULS   2803 
     19272636     PULS   2756 
     19272638     PULS   2708 
     19272640     PULS   2661 
     19272642     PULS   2615 
     19272644     PULS   2570 
     19272646     PULS   2526 
     19272648     PULS   2483 
     19272650     PULS   2442 
     19272652     PULS   2402 
     19272654     PULS   2364 
     19272656     PULS   2329 
     19272658     PULS   2296 
     19272660     PULS   2265 
     19272662     PULS   2236 
     19272664     PULS   2210 
     19272666     PULS   2187 
     19272668     PULS   2167 
     19272670     PULS   2148 
     19272672     PULS   2133 
     19272674     PULS   2119 
     19272676     PULS   2107 
     19272678     PULS   2098 
     19272680     PULS   2090 
     19272682     PULS   2083 
     19272684     PULS   2078 
     19272686     PULS   2074 
     19272688     PULS   2070 
     19272690     PULS   2067 
     19272692     PULS   2064 
     19272694     PULS   2062 
     19272696     PULS   2059 
     19272698     PULS   2056 
     19272700     PULS   2053 
     19272702     PULS   2049 
     19272704     PULS   2044 
     19272706     PULS   2039 
     19272708     PULS   2032 
     19272710     PULS   2025 
     19272712     PULS   2017 
     19272714     PULS   2007 
     19272716     PULS   1996 
     19272718     PULS   1985 
     19272720     PULS   1972 
     19272722     PULS   1958 
     19272724     PULS   1944 
     19272726     PULS   1928 
     19272728     PULS   1911 
     19272730     PULS   1894 
     19272732     PULS   1875 
     19272734     PULS   1856 
     19272736     PULS   1836 
     19272738     PULS   1816 
     19272740     PULS   1795 
     19272742     PULS   1774 
     19272744     PULS   1752 
     19272746     PULS   1730 
     19272748     PULS   1708 
     19272750     PULS   1686 
     19272752     PULS   1664 
     19272754     PULS   1641 
     19272756     PULS   1620 
     19272758     PULS   1598 
     19272760     PULS   1577 
     19272762     PULS   1556 
     19272764     PULS   1536 
     19272766     PULS   1516 
     19272768     PULS   1497 
     19272770     PULS   1478 
     19272772     PULS   1460 
     19272774     PULS   1443 
     19272776     PULS   1426 
     19272778     PULS   1410 
     19272780     PULS   1394 
     19272782     PULS   1379 
     19272784     PULS   1365 
     19272786     PULS   1352 
     19272788     PULS   1339 
     19272790     PULS   1327 
     19272792     PULS   1316 
     19272794     PULS   1305 
     19272796     PULS   1295 
     19272798     PULS   1286 
     19272800     PULS   1277 
     19272802     PULS   1269 
     19272804     PULS   1262 
     19272806     PULS   1255 
     19272808     PULS   1248 
     19272810     PULS   1243 
     19272812     PULS   1238 
     19272814     PULS   1233 
     19272816     PULS   1229 
     19272818     PULS   1226 
     19272820     PULS   1223 
     19272822     PULS   1220 
     19272824     PULS   1217 
     19272826     PULS   1216 
     19272828     PULS   1215 
     19272830     PULS   1214 
     19272832     PULS   1213 
     19272834     PULS   1213 
     19272836     PULS   1214 
     19272838     PULS   1215 
     19272840     PULS   1216 
     19272842     PULS   1218 
     19272844     PULS   1220 
     19272846     PULS   1223 
     19272848     PULS   1226 
     19272850     PULS   1229 
     19272852     PULS   1233 
     19272854     PULS   1238 
     19272856     PULS   1242 
     19272858     PULS   1247 
     19272860     PULS   1253 
     19272862     PULS   1258 
     19272864     PULS   1265 
     19272866     PULS   1271 
     19272868     PULS   1277 
     19272870     PULS   1283 
